03-22 15:24:22.935 10778             Hessdroid  D  DATA Sent:1482 Recv:101 RTT:210 Rcode:200 meth:com.wavemarket.finder.core.v2.api.HistoryService.getActivityStatsInWindow_TAuthToken_long_List_date_date_TTimeWindow()
03-22 15:24:23.065 16055             Hessdroid  D  DATA Sent:252 Recv:22 RTT:145 Rcode:200 meth:com.wavemarket.finder.core.v2.api.LockingService.isLockOverrideAllowed_TAuthToken_long()
03-22 15:24:29.342 16066             Hessdroid  D  DATA Sent:247 Recv:25902 RTT:6244 Rcode:200 meth:com.wavemarket.finder.core.v2.api.PhoneAppService.getApplications_TAuthToken_long()
03-22 15:24:31.714 16065             Hessdroid  D  DATA Sent:243 Recv:21229 RTT:8640 Rcode:200 meth:com.wavemarket.finder.core.v2.api.ContactsService.getContacts_TAuthToken_long()
03-22 15:24:34.848 10779             Hessdroid  D  DATA Sent:573 Recv:8774 RTT:4322 Rcode:200 meth:com.wavemarket.finder.core.v2.api.HistoryService.getHistoryByTypesForAsset_TAuthToken_long_date_date_List_int()
03-22 15:24:40.894 10721             Hessdroid  D  DATA Sent:604 Recv:4294 RTT:4057 Rcode:200 meth:com.wavemarket.finder.core.v2.api.HistoryService.getHistoryByTypesForAsset_TAuthToken_long_date_date_List_int()
03-22 15:24:50.725 10786             Hessdroid  D  DATA Sent:620 Recv:1083 RTT:1551 Rcode:200 meth:com.wavemarket.finder.core.v2.api.HistoryService.getDailyActivityStats_TAuthToken_List_int_int_TDuration()
03-22 15:24:51.045 10786             Hessdroid  D  DATA Sent:1492 Recv:102 RTT:310 Rcode:200 meth:com.wavemarket.finder.core.v2.api.HistoryService.getActivityDurationStatsInWindow_TAuthToken_long_List_date_date_TTimeWindow()
03-22 15:24:51.526 10786             Hessdroid  D  DATA Sent:1492 Recv:102 RTT:475 Rcode:200 meth:com.wavemarket.finder.core.v2.api.HistoryService.getActivityDurationStatsInWindow_TAuthToken_long_List_date_date_TTimeWindow()
03-22 15:24:52.066 10786             Hessdroid  D  DATA Sent:618 Recv:1301 RTT:517 Rcode:200 meth:com.wavemarket.finder.core.v2.api.HistoryService.getDailyActivityStats_TAuthToken_List_int_int_TDuration()
03-22 15:24:52.457 10786             Hessdroid  D  DATA Sent:1482 Recv:102 RTT:386 Rcode:200 meth:com.wavemarket.finder.core.v2.api.HistoryService.getActivityStatsInWindow_TAuthToken_long_List_date_date_TTimeWindow()
03-22 15:24:52.537 10778             Hessdroid  D  DATA Sent:620 Recv:956 RTT:816 Rcode:200 meth:com.wavemarket.finder.core.v2.api.HistoryService.getDailyActivityStats_TAuthToken_List_int_int_TDuration()
03-22 15:24:52.827 10786             Hessdroid  D  DATA Sent:1482 Recv:102 RTT:368 Rcode:200 meth:com.wavemarket.finder.core.v2.api.HistoryService.getActivityStatsInWindow_TAuthToken_long_List_date_date_TTimeWindow()
03-22 15:24:52.937 10778             Hessdroid  D  DATA Sent:1492 Recv:101 RTT:392 Rcode:200 meth:com.wavemarket.finder.core.v2.api.HistoryService.getActivityDurationStatsInWindow_TAuthToken_long_List_date_date_TTimeWindow()
03-22 15:24:53.117 10708             Hessdroid  D  DATA Sent:573 Recv:8772 RTT:3931 Rcode:200 meth:com.wavemarket.finder.core.v2.api.HistoryService.getHistoryByTypesForAsset_TAuthToken_long_date_date_List_int()
03-22 15:24:53.518 10778             Hessdroid  D  DATA Sent:1492 Recv:101 RTT:562 Rcode:200 meth:com.wavemarket.finder.core.v2.api.HistoryService.getActivityDurationStatsInWindow_TAuthToken_long_List_date_date_TTimeWindow()
03-22 15:24:54.058 10779             Hessdroid  D  DATA Sent:573 Recv:3150 RTT:2335 Rcode:200 meth:com.wavemarket.finder.core.v2.api.HistoryService.getHistoryByTypesForAsset_TAuthToken_long_date_date_List_int()
