03-22 18:30:58.472 21816    VerizonCNI.JsonApi  D  DATA Sent:967 Recv:45 RTT:196 Rcode:200 meth:getActivityStatsForContact
03-22 18:30:58.672 21816    VerizonCNI.JsonApi  D  DATA Sent:933 Recv:45 RTT:193 Rcode:200 meth:getActivityDurationStatsForContact
03-22 18:30:58.882 21816    VerizonCNI.JsonApi  D  DATA Sent:1009 Recv:45 RTT:202 Rcode:200 meth:getActivityStatsForContact
03-22 18:31:00.594 22426    VerizonCNI.JsonApi  D  DATA Sent:321 Recv:280 RTT:293 Rcode:200 meth:updateContactTrustState
03-22 18:31:01.435 21935    VerizonCNI.JsonApi  D  DATA Sent:317 Recv:279 RTT:166 Rcode:200 meth:updateContactTrustState
03-22 18:31:08.833 21854    VerizonCNI.JsonApi  D  DATA Sent:933 Recv:46 RTT:857 Rcode:200 meth:getActivityDurationStatsForContact
03-22 18:31:08.883 21816    VerizonCNI.JsonApi  D  DATA Sent:527 Recv:10599 RTT:924 Rcode:200 meth:getHistoryByTypesForAsset
03-22 18:31:09.033 21854    VerizonCNI.JsonApi  D  DATA Sent:1009 Recv:45 RTT:197 Rcode:200 meth:getActivityStatsForContact
03-22 18:31:09.213 21854    VerizonCNI.JsonApi  D  DATA Sent:891 Recv:46 RTT:180 Rcode:200 meth:getActivityDurationStatsForContact
03-22 18:31:09.383 21854    VerizonCNI.JsonApi  D  DATA Sent:967 Recv:45 RTT:164 Rcode:200 meth:getActivityStatsForContact
03-22 18:31:09.584 21854    VerizonCNI.JsonApi  D  DATA Sent:933 Recv:45 RTT:187 Rcode:200 meth:getActivityDurationStatsForContact
03-22 18:31:09.844 21854    VerizonCNI.JsonApi  D  DATA Sent:1009 Recv:45 RTT:255 Rcode:200 meth:getActivityStatsForContact
03-22 18:31:21.226 21933    VerizonCNI.JsonApi  D  DATA Sent:511 Recv:18 RTT:1701 Rcode:200 meth:getHistoryByTypesForAsset
03-22 18:31:21.236 21935    VerizonCNI.JsonApi  D  DATA Sent:557 Recv:485 RTT:1717 Rcode:200 meth:getInsight
03-22 18:31:21.426 21935    VerizonCNI.JsonApi  D  DATA Sent:549 Recv:481 RTT:182 Rcode:200 meth:getInsight
